VLSR,Tbright
126.779728,1.273622
125.933831,1.662444
125.087935,1.870821
124.242038,1.635776
123.396141,1.323964
122.550244,0.821232
121.704348,0.496502
120.858451,1.363197
120.012554,1.340300
119.166657,0.926822
118.320761,1.265730
117.474864,1.455043
116.628967,1.123469
115.783070,1.456092
114.937174,1.957859
114.091277,1.873655
113.245380,1.448020
112.399484,1.725949
111.553587,1.548260
110.707690,1.222534
109.861793,1.526258
109.015897,1.959590
108.170000,1.246373
107.324103,1.118729
106.478206,1.817772
105.632310,1.277166
104.786413,1.533580
103.940516,1.332363
103.094619,0.548877
102.248723,0.490123
101.402826,1.454876
100.556929,1.732162
99.711033,1.341844
98.865136,1.342273
98.019239,1.075491
97.173342,0.998772
96.327446,1.112816
95.481549,1.119988
94.635652,1.087711
93.789755,0.916123
92.943859,1.106410
92.097962,1.431940
91.252065,1.319109
90.406168,1.369026
89.560272,1.390128
88.714375,1.845877
87.868478,1.795186
87.022581,1.569069
86.176685,1.475658
85.330788,1.460025
84.484891,1.188432
83.638995,1.420522
82.793098,1.436587
81.947201,1.271243
81.101304,1.020326
80.255408,1.375020
79.409511,1.353651
78.563614,1.523608
77.717717,1.880135
76.871821,1.569890
76.025924,1.658216
75.180027,1.537370
74.334130,1.516999
73.488234,1.871970
72.642337,2.172408
71.796440,1.805336
70.950544,1.560658
70.104647,1.428085
69.258750,1.234726
68.412853,1.628712
67.566957,1.260513
66.721060,1.240601
65.875163,1.629006
65.029266,1.759377
64.183370,1.279278
63.337473,1.133327
62.491576,0.675551
61.645679,0.751607
60.799783,1.379676
59.953886,1.674536
59.107989,0.847655
58.262092,1.097969
57.416196,1.526967
56.570299,1.300589
55.724402,1.193015
54.878506,1.733938
54.032609,1.748625
53.186712,1.438567
52.340815,1.065511
51.494919,1.052872
50.649022,1.167934
49.803125,1.377648
48.957228,1.655616
48.111332,1.492066
47.265435,1.223121
46.419538,1.305433
45.573641,1.750768
44.727745,1.629456
43.881848,1.138854
43.035951,1.285035
42.190055,1.497442
41.344158,0.943131
40.498261,0.992833
39.652364,0.798059
38.806468,0.639960
37.960571,0.844187
37.114674,0.708954
36.268777,0.961582
35.422881,1.187364
34.576984,1.166370
33.731087,0.559939
32.885190,0.000000
32.039294,0.010779
31.193397,0.100528
30.347500,0.410249
29.501604,0.488885
28.655707,0.750100
27.809810,0.901623
26.963913,1.352486
26.118017,1.178306
25.272120,1.355155
24.426223,1.280525
23.580326,0.984586
22.734430,2.037456
21.888533,2.666179
21.042636,2.198490
20.196739,2.931590
19.350843,3.826157
18.504946,4.556175
17.659049,5.469031
16.813152,6.629788
15.967256,7.736954
15.121359,8.921195
14.275462,10.504913
13.429566,13.193428
12.583669,15.533546
